spine_rank	module	id	token_count	char_count	statement
1	deinfinite_core	S-0001	14	81	A problem exists when a bounded frame tries to close over an unbounded reference.
1	deinfinite_core	S-0002	15	102	DeInfinite maps a continuum ideal through a finite contract, then promotes the residual into dynamics.
1	deinfinite_core	S-0003	17	108	N=4 with a fixed 3-decimal reporting contract defines the admissible finite image for core Delta transforms.
1	deinfinite_core	S-0004	14	101	Residuals are not discarded as approximation error; they are treated as physically active parameters.
1	deinfinite_core	S-0005	14	107	In the Yang-Mills Delta workflow, delta equals pi_continuum minus pi_effective under the declared contract.
1	deinfinite_core	S-0006	18	119	A De-Infinite Lift is defined by X_cont, contract C, finite image X_fin, residual Delta_X, and lifted dynamics D_Delta.
1	deinfinite_core	S-0007	24	145	A finite contract C is encoded as N, q, B, A, S, and M for structure, precision, bandwidth, admissible operators, sign constraints, and metering.
1	deinfinite_core	S-0008	14	103	The contract projection Pi_C maps continuum objects into an admissible finite representation class X_C.
1	deinfinite_core	S-0009	7	41	The finite image is X_fin = Pi_C(X_cont).
1	deinfinite_core	S-0010	7	41	The residual is Delta_X = X_cont - X_fin.
1	deinfinite_core	S-0011	15	104	The promotion axiom treats Delta_X as a governing parameter instead of approximation error to eliminate.
1	deinfinite_core	S-0012	17	87	Lifted dynamics are posed as u_dot = F(u; Delta_X, C) or u_{n+1} = Phi_C(u_n; Delta_X).
1	deinfinite_core	S-0013	15	96	A lifted model is accepted only if invariance, stability, scaling, and falsifier gates all pass.
1	deinfinite_core	S-0014	14	88	The canonical pipeline is continuum to contract to finite image to residual to dynamics.
1	deinfinite_core	S-0015	13	96	Heat-semigroup lifting uses S_epsilon = exp(epsilon Delta) with fixed epsilon greater than zero.
1	deinfinite_core	S-0016	10	94	Regularized operators are nabla_epsilon = nabla S_epsilon and Delta_epsilon = Delta S_epsilon.
1	deinfinite_core	S-0017	18	122	Integral and Fourier contracts replace integrals with epsilon-grid sums plus debt term M_def and replace pi with pi_Delta.
1	deinfinite_core	S-0018	16	98	In the Yang-Mills channel, delta is defined as pi minus pi_eff under the declared finite contract.
1	deinfinite_core	S-0019	19	102	In the growth channel, eta is defined as phi minus phi_eff and promoted as a spectral or energy floor.
1	deinfinite_core	S-0020	19	136	In the PDE channel, derivative residuals from finite or regularized operators are promoted into effective transport or dissipation laws.
