rank	id	stage	label	statement
1	S-0001	0	ontology	A problem exists when a bounded frame tries to close over an unbounded reference.
2	S-1161	0	ontology	A bounded scientific frame is said unable to close over unbounded first-person reference.
3	S-0022	0	ontology	Finite closure under contract C is achieved without requiring completion of an unbounded reference when projection is well-defined, lifted dynamics are well-posed, and all receipt gates pass.
4	S-1106	0	ontology	The claim is that no unbounded reference is required in the closed derivation.
5	S-1146	0	ontology	Drilling recurrently lands on bounded frame failing to close reference.
6	S-1160	0	ontology	The loop is explained as single frame over mixed bounded and unbounded references.
7	S-1170	0	ontology	Mixing bounded and unbounded senses inside one label prevents closure.
8	S-1177	0	ontology	Resolution move is to identify unbounded reference explicitly.
9	S-1196	0	ontology	Unbounded references should be bounded or quarantined as limits.
10	S-1816	0	ontology	LOW persistence theorem assumes unbounded increasing alpha_n, convex monotone f, and bounded baseline derivative.
11	S-0024	0	ontology	One substrate exists with two conjugate modes: flow and shear.
12	S-0103	0	ontology	Triple signature is surge-then-relief ending in bounded post-lock eta_FS band.
13	S-0116	0	ontology	Prediction: attempted quark isolation yields unbounded eta_FS or tau_H without legal relock.
14	S-0142	0	ontology	CRL constrains rational complexity by bounded digit depth.
15	S-0193	0	ontology	A Lock must admit a short rational CRL form with bounded digits at 3DL.
16	S-0204	0	ontology	Certificate build stage attaches bounded rational form, gate flags, and required meters.
17	S-0347	0	ontology	CRL exists because causal substrate cannot carry infinite digits.
18	S-0348	0	ontology	On N=4 substrate, unbounded representation length breaks finite search and certification.
19	S-0405	0	ontology	GML Merge step enforces phase corridor, bounded amplitude, and LOW for space.
20	S-0547	0	ontology	Amplitude action uses bounded reversible multiplicative updates.
21	S-0660	0	ontology	Acceptance replaces any accepted lock if stronger lower-order cover exists.
22	S-0715	0	ontology	Amplitude axis uses bounded multiplicative-weight updates.
23	S-0717	0	ontology	Amplitude-lock stop requires W=3 windows with bounded Ci, bounded L1 amplitude change, and DeltaT <= 1e-3.
24	S-0944	0	ontology	Delta-Pinch motivation is bounded auditable squeeze replacing open-ended optimization.
25	S-1142	0	ontology	Oscillation is introduced as a diagnostic layer beyond the base problem definition.
26	S-1145	0	ontology	Drilling asks repeatedly what makes a case a problem rather than annoyance.
27	S-1195	0	ontology	Bounded references should be isolated and solved directly.
28	S-1199	0	ontology	A flat tire can be task or problem depending on closure space state.
29	S-1200	0	ontology	Resolution-space fracture is treated as trigger of problem status.
30	S-1202	0	ontology	Closure-operator failure is central event in problem emergence.
31	S-1217	0	ontology	Diagnostic output is where to cut, bind, or quarantine reference.
