id	statement	keywords
S-0001	A problem exists when a bounded frame tries to close over an unbounded reference.	bounded,close,exists,frame,over,problem,reference,tries,unbounded,when
S-0002	DeInfinite maps a continuum ideal through a finite contract, then promotes the residual into dynamics.	continuum,contract,deinfinite,dynamics,finite,ideal,maps,promotes,residual,through
S-0003	N=4 with a fixed 3-decimal reporting contract defines the admissible finite image for core Delta transforms.	3-decimal,admissible,contract,core,defines,delta,finite,fixed,image,reporting,transforms
S-0004	Residuals are not discarded as approximation error; they are treated as physically active parameters.	active,approximation,discarded,error,not,parameters,physically,residuals,they,treated
S-0005	In the Yang-Mills Delta workflow, delta equals pi_continuum minus pi_effective under the declared contract.	contract,declared,delta,equals,minus,pi_continuum,pi_effective,under,workflow,yang-mills
S-0006	A De-Infinite Lift is defined by X_cont, contract C, finite image X_fin, residual Delta_X, and lifted dynamics D_Delta.	contract,d_delta,de-infinite,defined,delta_x,dynamics,finite,image,lift,lifted,residual,x_cont,x_fin
S-0007	A finite contract C is encoded as N, q, B, A, S, and M for structure, precision, bandwidth, admissible operators, sign constraints, and metering.	admissible,bandwidth,constraints,contract,encoded,finite,metering,operators,precision,sign,structure
S-0008	The contract projection Pi_C maps continuum objects into an admissible finite representation class X_C.	admissible,class,continuum,contract,finite,maps,objects,pi_c,projection,representation,x_c
S-0009	The finite image is X_fin = Pi_C(X_cont).	finite,image,pi_c,x_cont,x_fin
S-0010	The residual is Delta_X = X_cont - X_fin.	delta_x,residual,x_cont,x_fin
S-0011	The promotion axiom treats Delta_X as a governing parameter instead of approximation error to eliminate.	approximation,axiom,delta_x,eliminate,error,governing,instead,parameter,promotion,treats
S-0012	Lifted dynamics are posed as u_dot = F(u; Delta_X, C) or u_{n+1} = Phi_C(u_n; Delta_X).	delta_x,dynamics,lifted,phi_c,posed,u_,u_dot,u_n
S-0013	A lifted model is accepted only if invariance, stability, scaling, and falsifier gates all pass.	accepted,all,falsifier,gates,if,invariance,lifted,model,only,pass,scaling,stability
S-0014	The canonical pipeline is continuum to contract to finite image to residual to dynamics.	canonical,continuum,contract,dynamics,finite,image,pipeline,residual
S-0015	Heat-semigroup lifting uses S_epsilon = exp(epsilon Delta) with fixed epsilon greater than zero.	delta,epsilon,exp,fixed,greater,heat-semigroup,lifting,s_epsilon,than,uses,zero
S-0016	Regularized operators are nabla_epsilon = nabla S_epsilon and Delta_epsilon = Delta S_epsilon.	delta,delta_epsilon,nabla,nabla_epsilon,operators,regularized,s_epsilon
S-0017	Integral and Fourier contracts replace integrals with epsilon-grid sums plus debt term M_def and replace pi with pi_Delta.	contracts,debt,epsilon-grid,fourier,integral,integrals,m_def,pi,pi_delta,plus,replace,sums,term
S-0018	In the Yang-Mills channel, delta is defined as pi minus pi_eff under the declared finite contract.	channel,contract,declared,defined,delta,finite,minus,pi,pi_eff,under,yang-mills
S-0019	In the growth channel, eta is defined as phi minus phi_eff and promoted as a spectral or energy floor.	channel,defined,energy,eta,floor,growth,minus,phi,phi_eff,promoted,spectral
S-0020	In the PDE channel, derivative residuals from finite or regularized operators are promoted into effective transport or dissipation laws.	channel,derivative,dissipation,effective,finite,laws,operators,pde,promoted,regularized,residuals,transport
S-0021	In the hinge channel, Delta_R = 1 - R_C is promoted into transition, locking, or decoherence thresholds.	channel,decoherence,delta_r,hinge,locking,promoted,r_c,thresholds,transition
S-0022	Finite closure under contract C is achieved without requiring completion of an unbounded reference when projection is well-defined, lifted dynamics are well-posed, and all receipt gates pass.	achieved,all,closure,completion,contract,dynamics,finite,gates,lifted,pass,projection,receipt,reference,requiring,unbounded,under,well-defined,well-posed,when,without
S-0023	De-Infinite converts impossible closure demands into computable closure by contract projection plus residual promotion.	closure,computable,contract,converts,de-infinite,demands,impossible,plus,projection,promotion,residual
S-0024	One substrate exists with two conjugate modes: flow and shear.	conjugate,exists,flow,modes,one,shear,substrate,two
S-0025	Flow is the divergent or irrotational component and represents the circle tendency.	circle,component,divergent,flow,irrotational,represents,tendency
S-0026	Shear is the solenoidal or vortical component and represents the square or lattice tendency.	component,lattice,represents,shear,solenoidal,square,tendency,vortical
