L,delta,eta,t,C_t
12,0.08,0.0,0,1.0108294782055753
12,0.08,0.0,1,0.7680079125342039
12,0.08,0.0,2,0.5870376779252918
12,0.08,0.0,3,0.4533443804037664
12,0.08,0.0,4,0.35616106266244296
12,0.08,0.0,5,0.2876610897653188
12,0.08,0.0,6,0.2423278330002633
12,0.08,0.0,7,0.21651038952297808
12,0.08,0.0,8,0.20812955778144934
12,0.08,0.0,9,0.21651038952297808
12,0.08,0.0,10,0.2423278330002633
12,0.08,0.0,11,0.2876610897653188
12,0.08,0.0,12,0.35616106266244296
12,0.08,0.0,13,0.4533443804037664
12,0.08,0.0,14,0.5870376779252918
12,0.08,0.0,15,0.7680079125342039
12,0.08,0.0,16,1.0108294782055753
12,0.08,0.05,0,1.010780580308493
12,0.08,0.05,1,0.7677339456818796
12,0.08,0.05,2,0.5866411239847817
12,0.08,0.05,3,0.45288847091841117
12,0.08,0.05,4,0.35568255095278045
12,0.08,0.05,5,0.2871791396465131
12,0.08,0.05,6,0.24185021840283782
12,0.08,0.05,7,0.2160378800485434
12,0.08,0.05,8,0.20765914676212044
12,0.08,0.05,9,0.2160378800485434
12,0.08,0.05,10,0.24185021840283782
12,0.08,0.05,11,0.2871791396465131
12,0.08,0.05,12,0.35568255095278045
12,0.08,0.05,13,0.45288847091841117
12,0.08,0.05,14,0.5866411239847817
12,0.08,0.05,15,0.7677339456818796
12,0.08,0.05,16,1.010780580308493
12,0.08,0.1,0,1.010731903198072
12,0.08,0.1,1,0.7674602966616405
12,0.08,0.1,2,0.5862450494810142
12,0.08,0.1,3,0.4524332101631858
12,0.08,0.1,4,0.3552048371126235
12,0.08,0.1,5,0.2866981049243499
12,0.08,0.1,6,0.2413736021011711
12,0.08,0.1,7,0.2155664177062566
12,0.08,0.1,8,0.20718979895807652
12,0.08,0.1,9,0.2155664177062566
12,0.08,0.1,10,0.2413736021011711
12,0.08,0.1,11,0.2866981049243499
12,0.08,0.1,12,0.3552048371126235
12,0.08,0.1,13,0.4524332101631858
12,0.08,0.1,14,0.5862450494810142
12,0.08,0.1,15,0.7674602966616405
12,0.08,0.1,16,1.010731903198072
12,0.121,0.0,0,1.00382725025817
12,0.121,0.0,1,0.7116238809939621
12,0.121,0.0,2,0.5063987512467157
12,0.121,0.0,3,0.3630682164581238
12,0.121,0.0,4,0.26411369986608635
12,0.121,0.0,5,0.19744048419747623
12,0.121,0.0,6,0.1548994346682127
12,0.121,0.0,7,0.13129097086217634
12,0.121,0.0,8,0.12372954793694148
12,0.121,0.0,9,0.13129097086217634
12,0.121,0.0,10,0.1548994346682127
12,0.121,0.0,11,0.19744048419747623
12,0.121,0.0,12,0.26411369986608635
12,0.121,0.0,13,0.3630682164581238
12,0.121,0.0,14,0.5063987512467157
12,0.121,0.0,15,0.7116238809939621
12,0.121,0.0,16,1.00382725025817
12,0.121,0.05,0,1.0038060084475404
12,0.121,0.05,1,0.711350066310794
12,0.121,0.05,2,0.5060146274297488
12,0.121,0.05,3,0.3626518389837499
12,0.121,0.05,4,0.2637037659010669
12,0.121,0.05,5,0.19705203449846903
12,0.121,0.05,6,0.15453367037325025
12,0.121,0.05,7,0.13094136216687088
12,0.121,0.05,8,0.12338571145056158
12,0.121,0.05,9,0.13094136216687088
12,0.121,0.05,10,0.15453367037325025
12,0.121,0.05,11,0.19705203449846903
12,0.121,0.05,12,0.2637037659010669
12,0.121,0.05,13,0.3626518389837499
12,0.121,0.05,14,0.5060146274297488
12,0.121,0.05,15,0.711350066310794
12,0.121,0.05,16,1.0038060084475404
12,0.121,0.1,0,1.0037848845321327
12,0.121,0.1,1,0.7110764838260664
12,0.121,0.1,2,0.5056309259422084
12,0.121,0.1,3,0.3622360658667388
12,0.121,0.1,4,0.2632945797942775
12,0.121,0.1,5,0.19666443301530845
12,0.121,0.1,6,0.15416881732727528
12,0.121,0.1,7,0.13059269845923047
12,0.121,0.1,8,0.12304283046374773
12,0.121,0.1,9,0.13059269845923047
12,0.121,0.1,10,0.15416881732727528
12,0.121,0.1,11,0.19666443301530845
12,0.121,0.1,12,0.2632945797942775
12,0.121,0.1,13,0.3622360658667388
12,0.121,0.1,14,0.5056309259422084
12,0.121,0.1,15,0.7110764838260664
12,0.121,0.1,16,1.0037848845321327
16,0.08,0.0,0,1.0108294782055753
16,0.08,0.0,1,0.7680079125342039
16,0.08,0.0,2,0.5870376779252918
16,0.08,0.0,3,0.4533443804037664
16,0.08,0.0,4,0.35616106266244296
16,0.08,0.0,5,0.2876610897653188
16,0.08,0.0,6,0.2423278330002633
16,0.08,0.0,7,0.21651038952297808
16,0.08,0.0,8,0.20812955778144934
16,0.08,0.0,9,0.21651038952297808
16,0.08,0.0,10,0.2423278330002633
16,0.08,0.0,11,0.2876610897653188
16,0.08,0.0,12,0.35616106266244296
16,0.08,0.0,13,0.4533443804037664
16,0.08,0.0,14,0.5870376779252918
16,0.08,0.0,15,0.7680079125342039
16,0.08,0.0,16,1.0108294782055753
16,0.08,0.05,0,1.010780580308493
16,0.08,0.05,1,0.7677339456818796
16,0.08,0.05,2,0.5866411239847817
16,0.08,0.05,3,0.45288847091841117
16,0.08,0.05,4,0.35568255095278045
16,0.08,0.05,5,0.2871791396465131
16,0.08,0.05,6,0.24185021840283782
16,0.08,0.05,7,0.2160378800485434
16,0.08,0.05,8,0.20765914676212044
16,0.08,0.05,9,0.2160378800485434
16,0.08,0.05,10,0.24185021840283782
16,0.08,0.05,11,0.2871791396465131
16,0.08,0.05,12,0.35568255095278045
16,0.08,0.05,13,0.45288847091841117
16,0.08,0.05,14,0.5866411239847817
16,0.08,0.05,15,0.7677339456818796
16,0.08,0.05,16,1.010780580308493
16,0.08,0.1,0,1.010731903198072
16,0.08,0.1,1,0.7674602966616405
16,0.08,0.1,2,0.5862450494810142
16,0.08,0.1,3,0.4524332101631858
16,0.08,0.1,4,0.3552048371126235
16,0.08,0.1,5,0.2866981049243499
16,0.08,0.1,6,0.2413736021011711
16,0.08,0.1,7,0.2155664177062566
16,0.08,0.1,8,0.20718979895807652
16,0.08,0.1,9,0.2155664177062566
16,0.08,0.1,10,0.2413736021011711
16,0.08,0.1,11,0.2866981049243499
16,0.08,0.1,12,0.3552048371126235
16,0.08,0.1,13,0.4524332101631858
16,0.08,0.1,14,0.5862450494810142
16,0.08,0.1,15,0.7674602966616405
16,0.08,0.1,16,1.010731903198072
16,0.121,0.0,0,1.00382725025817
16,0.121,0.0,1,0.7116238809939621
16,0.121,0.0,2,0.5063987512467157
16,0.121,0.0,3,0.3630682164581238
16,0.121,0.0,4,0.26411369986608635
16,0.121,0.0,5,0.19744048419747623
16,0.121,0.0,6,0.1548994346682127
16,0.121,0.0,7,0.13129097086217634
16,0.121,0.0,8,0.12372954793694148
16,0.121,0.0,9,0.13129097086217634
16,0.121,0.0,10,0.1548994346682127
16,0.121,0.0,11,0.19744048419747623
16,0.121,0.0,12,0.26411369986608635
16,0.121,0.0,13,0.3630682164581238
16,0.121,0.0,14,0.5063987512467157
16,0.121,0.0,15,0.7116238809939621
16,0.121,0.0,16,1.00382725025817
16,0.121,0.05,0,1.0038060084475404
16,0.121,0.05,1,0.711350066310794
16,0.121,0.05,2,0.5060146274297488
16,0.121,0.05,3,0.3626518389837499
16,0.121,0.05,4,0.2637037659010669
16,0.121,0.05,5,0.19705203449846903
16,0.121,0.05,6,0.15453367037325025
16,0.121,0.05,7,0.13094136216687088
16,0.121,0.05,8,0.12338571145056158
16,0.121,0.05,9,0.13094136216687088
16,0.121,0.05,10,0.15453367037325025
16,0.121,0.05,11,0.19705203449846903
16,0.121,0.05,12,0.2637037659010669
16,0.121,0.05,13,0.3626518389837499
16,0.121,0.05,14,0.5060146274297488
16,0.121,0.05,15,0.711350066310794
16,0.121,0.05,16,1.0038060084475404
16,0.121,0.1,0,1.0037848845321327
16,0.121,0.1,1,0.7110764838260664
16,0.121,0.1,2,0.5056309259422084
16,0.121,0.1,3,0.3622360658667388
16,0.121,0.1,4,0.2632945797942775
16,0.121,0.1,5,0.19666443301530845
16,0.121,0.1,6,0.15416881732727528
16,0.121,0.1,7,0.13059269845923047
16,0.121,0.1,8,0.12304283046374773
16,0.121,0.1,9,0.13059269845923047
16,0.121,0.1,10,0.15416881732727528
16,0.121,0.1,11,0.19666443301530845
16,0.121,0.1,12,0.2632945797942775
16,0.121,0.1,13,0.3622360658667388
16,0.121,0.1,14,0.5056309259422084
16,0.121,0.1,15,0.7110764838260664
16,0.121,0.1,16,1.0037848845321327
